the_geom,ADDRESS,NAME,ALT_NAME,DESC_,POINT_X,POINT_Y,GIS_EDT_DT,LATITUDE,LONGITUDE,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.3042228782537 47.59166415630529),2100 S Judkins Street,Judkins Park and Playfield,Judkins Park Skatespot,Skatespot,1277489.10572754,219289.61305773,11/30/1899 12:00:00 AM +0000,47.59166416,-122.30422288,397,,,,
POINT (-122.38564835153281 47.67045703855531),5701 22nd Ave NW,Ballard Commons Park,Ballard Commons Skatepark,Skatepark,1257980.52494223,248419.31410503,11/30/1899 12:00:00 AM +0000,47.67045704,-122.38564835,4278,,,,
POINT (-122.3256284107377 47.70981394889662),5th Ave NE / NE 105th St,Hubbard Homestead Park,Hubbard Homestead Park Skatespot,Skatespot,1273043.81545155,262480.18127698,11/30/1899 12:00:00 AM +0000,47.70981395,-122.32562841,4456,,,,
POINT (-122.29928040248576 47.68471967005354),7700 25th Ave NE,Dahl Playfield,Dahl Skatepark,Skatepark,1279355.01491103,253203.62580599,11/30/1899 12:00:00 AM +0000,47.68471967,-122.2992804,499,,,,
POINT (-122.36940710356463 47.52065886275338),2850 SW Roxbury St,Roxhill Park,Roxhill Skatespot,Skatespot,1260890.68748489,193708.74993946,11/30/1899 12:00:00 AM +0000,47.52065886,-122.3694071,464,,,,
POINT (-122.37298402031239 47.69663456174736),9089 Holman Road NW,Crown Hill Park,Crown Hill Park Skatedot,Skatedot,1261291.18029025,257903.3966842,11/30/1899 12:00:00 AM +0000,47.69663456,-122.37298402,4469,,,,
POINT (-122.34211871172934 47.66774377742856),1000 N 50th St,Woodland Park,Lower Woodland Skatepark,Skatepark,1268683.90962407,247216.51129626,11/30/1899 12:00:00 AM +0000,47.66774378,-122.34211871,292,,,,
POINT (-122.2842768555721 47.51936784157807),9320 38th Ave S,Benefit Playground,Benefit Park Skatedot,Skatedot,1281912.83042589,192829.71105741,11/30/1899 12:00:00 AM +0000,47.51936784,-122.28427686,436,,,,
POINT (-122.32513201516673 47.619817840719136),E John St / Summit Ave E,Summit Slope Park,Summit Slope Skatedot,Skatedot,1272529.6837959,229656.47510503,11/30/1899 12:00:00 AM +0000,47.61981784,-122.32513202,4461,,,,
POINT (-122.36404800601323 47.56449661440608),4458 Delridge Way SW,Delridge Playfield,Delridge Skatepark,Skatepark,1262532.65286332,209669.67724942,11/30/1899 12:00:00 AM +0000,47.56449661,-122.36404801,450,,,,
POINT (-122.30931502896777 47.56934789947141),3801 Beacon Ave S,Jefferson Park,Jefferson Park Skatepark,Skatepark,1276076.70696995,211174.97678518,11/30/1899 12:00:00 AM +0000,47.5693479,-122.30931503,114,,,,
